CMDLINE /home/mamm/anaconda3/envs/agar/bin/python test_dqn.py
MEM 2787.015625 1738815999.7392
MEM 2787.015625 1738815999.8411
MEM 2787.015625 1738815999.9414
MEM 2787.015625 1738816000.0417
MEM 2787.015625 1738816000.1420
MEM 2787.015625 1738816000.2422
MEM 2787.015625 1738816000.3425
MEM 2787.015625 1738816000.4428
MEM 2787.015625 1738816000.5452
MEM 2787.015625 1738816000.6461
MEM 2787.015625 1738816000.7463
MEM 2787.015625 1738816000.8482
MEM 2787.015625 1738816000.9484
MEM 2787.015625 1738816001.0493
MEM 2787.015625 1738816001.1495
MEM 2790.515625 1738816001.2498
MEM 2795.015625 1738816001.3500
MEM 2795.015625 1738816001.4523
MEM 2795.015625 1738816001.5527
MEM 2797.015625 1738816001.6546
MEM 2797.015625 1738816001.7548
MEM 2797.015625 1738816001.8550
MEM 2797.015625 1738816001.9565
MEM 2797.140625 1738816002.0567
MEM 2797.140625 1738816002.1570
MEM 2797.140625 1738816002.2594
MEM 2797.140625 1738816002.3596
MEM 2805.140625 1738816002.4599
MEM 2805.140625 1738816002.5602
MEM 2805.265625 1738816002.6633
MEM 2813.265625 1738816002.7649
MEM 2813.265625 1738816002.8671
MEM 2813.390625 1738816002.9674
MEM 2821.390625 1738816003.0677
MEM 2821.390625 1738816003.1679
MEM 2821.390625 1738816003.2683
MEM 2821.390625 1738816003.3695
MEM 2829.515625 1738816003.4698
MEM 2829.515625 1738816003.5700
MEM 2829.515625 1738816003.6703
MEM 2837.640625 1738816003.7705
MEM 2837.640625 1738816003.8721
MEM 2837.640625 1738816003.9724
MEM 2837.765625 1738816004.0726
MEM 2845.765625 1738816004.1728
MEM 2862.015625 1738816004.2731
MEM 2862.015625 1738816004.3733
MEM 2862.140625 1738816004.4735
MEM 2862.140625 1738816004.5742
MEM 2862.140625 1738816004.6744
MEM 2862.140625 1738816004.7759
MEM 2862.140625 1738816004.8761
MEM 2862.140625 1738816004.9765
MEM 2862.140625 1738816005.0770
MEM 2862.140625 1738816005.1773
MEM 2869.015625 1738816005.2776
MEM 2870.140625 1738816005.3811
MEM 2870.140625 1738816005.4814
MEM 2870.140625 1738816005.5817
MEM 2870.140625 1738816005.6819
MEM 2870.140625 1738816005.7822
MEM 2870.140625 1738816005.8824
MEM 2870.140625 1738816005.9827
MEM 2870.140625 1738816006.0829
MEM 2870.140625 1738816006.1831
MEM 2870.140625 1738816006.2834
MEM 2870.140625 1738816006.3836
MEM 2870.140625 1738816006.4838
MEM 2870.140625 1738816006.5841
MEM 2870.140625 1738816006.6843
MEM 2878.140625 1738816006.7846
MEM 2878.265625 1738816006.8851
