CMDLINE /home/mamm/anaconda3/envs/agar/bin/python train_ppo.py
MEM 1430.957031 1738824041.6496
MEM 1430.957031 1738824041.7513
MEM 1430.957031 1738824041.8516
MEM 1430.957031 1738824041.9519
MEM 1430.957031 1738824042.0538
MEM 1430.957031 1738824042.1540
MEM 1430.957031 1738824042.2543
MEM 1430.957031 1738824042.3554
MEM 1430.957031 1738824042.4558
MEM 1430.957031 1738824042.5562
MEM 1430.957031 1738824042.6582
MEM 1430.957031 1738824042.7586
MEM 1430.957031 1738824042.8589
MEM 1430.957031 1738824042.9593
MEM 1430.957031 1738824043.0607
MEM 1430.957031 1738824043.1610
MEM 1430.957031 1738824043.2617
MEM 1430.957031 1738824043.3621
MEM 1430.957031 1738824043.4637
MEM 1430.957031 1738824043.5639
MEM 1430.957031 1738824043.6662
MEM 1430.957031 1738824043.7667
MEM 1430.957031 1738824043.8670
MEM 1430.957031 1738824043.9672
MEM 1430.957031 1738824044.0675
MEM 1430.957031 1738824044.1691
MEM 1430.957031 1738824044.2693
MEM 1430.957031 1738824044.3705
MEM 1447.679688 1738824044.4713
MEM 1505.882812 1738824044.5718
MEM 1430.960938 1738824044.6733
MEM 1430.960938 1738824044.7737
MEM 1430.960938 1738824044.8741
MEM 1430.960938 1738824044.9746
MEM 1430.960938 1738824045.0749
MEM 1430.960938 1738824045.1752
MEM 1430.960938 1738824045.2765
MEM 1430.960938 1738824045.3768
MEM 1430.960938 1738824045.4771
MEM 1430.960938 1738824045.5774
MEM 1430.960938 1738824045.6776
MEM 1430.960938 1738824045.7779
MEM 1430.960938 1738824045.8791
MEM 1430.960938 1738824045.9794
MEM 1430.960938 1738824046.0797
MEM 1430.960938 1738824046.1799
MEM 1430.960938 1738824046.2802
MEM 1430.960938 1738824046.3810
MEM 1430.960938 1738824046.4832
MEM 1430.960938 1738824046.5835
MEM 1430.960938 1738824046.6838
MEM 1430.960938 1738824046.7840
MEM 1430.960938 1738824046.8843
MEM 1430.960938 1738824046.9861
MEM 1430.960938 1738824047.0864
MEM 1430.960938 1738824047.1867
MEM 1430.960938 1738824047.2870
MEM 1430.960938 1738824047.3882
MEM 1430.960938 1738824047.4886
MEM 1430.960938 1738824047.5890
MEM 1430.960938 1738824047.6894
MEM 1430.960938 1738824047.7897
MEM 1430.960938 1738824047.8900
MEM 1430.960938 1738824047.9903
MEM 1430.960938 1738824048.0906
MEM 1430.960938 1738824048.1908
MEM 1430.960938 1738824048.2911
MEM 1430.960938 1738824048.3914
MEM 1430.960938 1738824048.4936
MEM 1430.960938 1738824048.5952
MEM 1430.960938 1738824048.6955
MEM 1430.960938 1738824048.7962
MEM 1430.960938 1738824048.8965
MEM 1430.960938 1738824048.9967
MEM 1430.960938 1738824049.0970
MEM 1451.289062 1738824049.1992
MEM 1483.640625 1738824049.2995
MEM 1430.945312 1738824049.3998
MEM 1430.945312 1738824049.5002
MEM 1430.945312 1738824049.6006
MEM 1430.945312 1738824049.7010
MEM 1430.945312 1738824049.8014
MEM 1430.945312 1738824049.9018
MEM 1430.945312 1738824050.0022
MEM 1430.945312 1738824050.1025
MEM 1430.945312 1738824050.2032
MEM 1430.945312 1738824050.3035
MEM 1430.945312 1738824050.4046
MEM 1430.945312 1738824050.5066
MEM 1430.945312 1738824050.6069
MEM 1430.945312 1738824050.7072
MEM 1430.945312 1738824050.8075
MEM 1430.945312 1738824050.9077
MEM 1430.945312 1738824051.0149
MEM 1430.945312 1738824051.1151
MEM 1430.945312 1738824051.2154
MEM 1430.945312 1738824051.3157
MEM 1430.945312 1738824051.4160
MEM 1430.945312 1738824051.5162
MEM 1430.945312 1738824051.6165
MEM 1430.945312 1738824051.7177
MEM 1430.945312 1738824051.8180
MEM 1430.945312 1738824051.9183
MEM 1430.945312 1738824052.0186
MEM 1430.945312 1738824052.1189
MEM 1430.945312 1738824052.2197
MEM 1430.945312 1738824052.3211
MEM 1430.945312 1738824052.4214
MEM 1430.945312 1738824052.5216
MEM 1430.945312 1738824052.6219
MEM 1430.945312 1738824052.7222
MEM 1430.945312 1738824052.8225
MEM 1430.945312 1738824052.9230
MEM 1430.945312 1738824053.0272
MEM 1430.945312 1738824053.1275
MEM 1430.945312 1738824053.2278
MEM 1430.945312 1738824053.3281
MEM 1430.945312 1738824053.4302
MEM 1434.945312 1738824053.5320
MEM 1434.945312 1738824053.6359
MEM 1434.945312 1738824053.7361
MEM 1434.945312 1738824053.8363
MEM 1434.945312 1738824053.9366
MEM 1434.945312 1738824054.0369
MEM 1434.945312 1738824054.1371
MEM 1434.945312 1738824054.2391
MEM 1434.945312 1738824054.3394
MEM 1460.945312 1738824054.4422
MEM 1434.968750 1738824054.5425
MEM 1435.046875 1738824054.6428
MEM 1435.046875 1738824054.7442
MEM 1435.046875 1738824054.8447
MEM 1435.046875 1738824054.9451
MEM 1435.046875 1738824055.0501
MEM 1435.046875 1738824055.1505
MEM 1435.046875 1738824055.2508
MEM 1435.046875 1738824055.3511
